"filename", "language", "C#", "comment", "blank", "total"
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Audio\Music\MainMusicLogic.cs", "C#", 95, 1, 24, 120
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Audio\Music\TrackContainer.cs", "C#", 22, 0, 4, 26
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Audio\SFX\SfxMain.cs", "C#", 28, 0, 6, 34
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Damage Dealer\DamageDealer.cs", "C#", 110, 7, 27, 144
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Damage Dealer\DamageDealerBehaviourLogic.cs", "C#", 32, 5, 9, 46
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Damage Dealer\DamageDealerConfigurer.cs", "C#", 67, 1, 22, 90
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Damage Dealer\DamageDealerDeathBehaviour.cs", "C#", 30, 0, 5, 35
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Damage Dealer\DamageDealerProfile.cs", "C#", 39, 1, 11, 51
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Drop Scripts\DropCreator.cs", "C#", 72, 1, 19, 92
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Drop Scripts\DropInfo.cs", "C#", 16, 0, 3, 19
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Drop Scripts\DropItems.cs", "C#", 7, 0, 3, 10
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Drop Scripts\DropProfile.cs", "C#", 20, 0, 8, 28
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Drop Scripts\DroppedItemMain.cs", "C#", 9, 0, 2, 11
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Pickup\AttractItem.cs", "C#", 10, 0, 3, 13
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Drops\Pickup\PickupLogic.cs", "C#", 25, 0, 6, 31
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\EnemyDespawnType.cs", "C#", 7, 0, 2, 9
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\EnemyMovement.cs", "C#", 28, 1, 10, 39
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Spawning\DespawnFarAwayEnemies.cs", "C#", 25, 3, 6, 34
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Spawning\EnemyConfigurer.cs", "C#", 94, 0, 19, 113
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Spawning\EnemyProfile.cs", "C#", 30, 0, 4, 34
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Spawning\StandardEnemySpawner.cs", "C#", 53, 3, 9, 65
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Wave System\WaveDetails.cs", "C#", 39, 2, 5, 46
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Wave System\WaveEnemyQuantity.cs", "C#", 15, 0, 4, 19
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Enemy\Wave System\WaveManager.cs", "C#", 49, 2, 11, 62
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Health.cs", "C#", 53, 2, 13, 68
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\LifeSpanLimiter.cs", "C#", 26, 2, 6, 34
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Object Pool\ObjectIdentifier.cs", "C#", 8, 1, 2, 11
"c:\Alex\Unity\_Game Jams\Game Off 2022\Assets\Scripts\Object Pool\ObjectPoolMain.cs", "C#", 167, 14, 36, 217
